state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_anticipated_within_week_yes,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid
NM,1/10/2021,21,18,680,654,12,2
NV,1/10/2021,0,0,"1,803","1,747",10,12
NY,1/10/2021,11,12,"9,394","8,685",247,192
OH,1/10/2021,29,51,"4,587","4,194",84,48
OK,1/10/2021,44,51,"1,978","1,981",66,63
OR,1/10/2021,1,3,489,408,5,2
PA,1/10/2021,32,34,"5,872","5,375",68,37
PR,1/10/2021,0,0,387,300,25,10
RI,1/10/2021,6,6,446,410,3,3
SC,1/10/2021,26,24,"2,373","2,233",23,21
SD,1/10/2021,2,2,238,205,3,0
TN,1/10/2021,32,51,"3,153","3,061",32,30
TX,1/10/2021,164,195,"14,360","13,832",175,135
UT,1/10/2021,1,3,568,526,19,0
VA,1/10/2021,27,34,"3,005","2,587",32,17
VI,1/10/2021,1,2,0,0,0,0
VT,1/10/2021,1,1,42,40,1,0
WA,1/10/2021,14,16,"1,016",924,15,12
WI,1/10/2021,42,45,"1,114","1,087",10,2
WV,1/10/2021,22,24,861,817,5,2
WY,1/10/2021,4,5,96,93,0,0
AK,1/9/2021,1,1,71,68,5,3
AL,1/9/2021,40,42,"3,302","3,118",39,29
AR,1/9/2021,21,24,"1,354","1,257",19,4
AZ,1/9/2021,30,35,"5,159","4,601",37,26
CA,1/9/2021,182,195,"22,261","21,656",209,174
CO,1/9/2021,6,7,925,823,29,16
CT,1/9/2021,4,4,"1,275","1,141",10,7
DC,1/9/2021,0,0,340,308,28,9
DE,1/9/2021,1,2,503,480,12,11
FL,1/9/2021,9,26,"8,114","7,644",55,44
GA,1/9/2021,40,45,"6,008","5,707",74,20
HI,1/9/2021,2,2,145,126,1,0
IA,1/9/2021,5,6,571,540,8,3
ID,1/9/2021,5,6,344,337,10,9
IL,1/9/2021,22,22,"3,555","3,099",41,21
IN,1/9/2021,23,30,"2,588","2,294",14,8
KS,1/9/2021,12,16,986,902,3,2
KY,1/9/2021,0,2,"1,807","1,680",24,8
LA,1/9/2021,46,51,"1,729","1,949",13,12
MA,1/9/2021,12,14,"2,051","1,874",24,19
MD,1/9/2021,4,2,"2,092","1,715",13,6
ME,1/9/2021,3,4,241,203,1,1
MI,1/9/2021,22,24,"2,362","2,174",24,19
MN,1/9/2021,20,23,766,675,18,14
MO,1/9/2021,26,36,"2,570","2,264",69,37
MS,1/9/2021,14,19,"1,415","1,227",20,16
MT,1/9/2021,10,12,207,203,1,1
NC,1/9/2021,6,7,"3,773","3,529",42,27
ND,1/9/2021,18,17,148,128,1,1
NE,1/9/2021,11,20,498,475,16,14
NH,1/9/2021,6,9,291,256,0,0
NJ,1/9/2021,11,13,"3,809","3,508",50,31
NM,1/9/2021,20,19,786,719,15,4
NV,1/9/2021,0,0,"1,829","1,763",8,12
NY,1/9/2021,9,9,"9,513","8,632",122,57
OH,1/9/2021,27,49,"4,493","4,121",67,32
OK,1/9/2021,46,51,"1,985","1,986",69,68
OR,1/9/2021,1,3,533,431,6,2
PA,1/9/2021,36,36,"6,006","5,482",75,40
PR,1/9/2021,0,0,393,303,35,9
RI,1/9/2021,5,5,436,402,3,3
SC,1/9/2021,26,23,"2,386","2,253",27,25
SD,1/9/2021,2,2,238,205,2,1
TN,1/9/2021,31,49,"3,153","3,081",37,33
TX,1/9/2021,163,197,"14,187","13,715",183,150
UT,1/9/2021,1,3,557,503,17,0
VA,1/9/2021,26,35,"2,947","2,604",30,20
VI,1/9/2021,1,2,1,0,0,0
VT,1/9/2021,1,1,38,35,2,0
WA,1/9/2021,10,12,"1,025",936,18,17
WI,1/9/2021,38,45,"1,140","1,098",8,3
WV,1/9/2021,23,25,862,822,7,2
WY,1/9/2021,4,4,110,97,0,0
AK,1/8/2021,1,1,76,73,4,3
AL,1/8/2021,38,41,"3,308","3,131",38,28
AR,1/8/2021,16,19,"1,344","1,251",15,1
AZ,1/8/2021,33,33,"5,097","4,581",41,25
CA,1/8/2021,184,193,"22,359","21,783",212,175
CO,1/8/2021,6,7,907,814,34,23
CT,1/8/2021,4,4,"1,288","1,148",8,6
DC,1/8/2021,0,0,344,316,27,11
DE,1/8/2021,1,2,493,478,10,10
FL,1/8/2021,8,25,"8,125","7,667",66,47
GA,1/8/2021,40,46,"5,972","5,668",81,23
HI,1/8/2021,2,2,145,124,1,0
IA,1/8/2021,3,4,567,543,6,4
ID,1/8/2021,5,6,345,343,9,9
IL,1/8/2021,22,22,"3,701","3,240",55,25
IN,1/8/2021,23,32,"2,603","2,353",16,7
KS,1/8/2021,15,20,"1,059",973,3,2
KY,1/8/2021,1,4,"1,847","1,714",22,5
LA,1/8/2021,46,52,"1,818","2,012",22,15
MA,1/8/2021,13,14,"2,128","1,959",23,18
MD,1/8/2021,4,3,"2,126","1,713",10,8
ME,1/8/2021,2,2,262,213,3,2
MI,1/8/2021,23,24,"2,448","2,247",32,20
MN,1/8/2021,20,22,822,731,22,18
MO,1/8/2021,23,34,"2,598","2,296",78,29
MS,1/8/2021,14,17,"1,443","1,250",15,13
MT,1/8/2021,11,12,216,215,2,1
NC,1/8/2021,5,6,"3,838","3,576",43,32
ND,1/8/2021,19,17,161,134,3,2
NE,1/8/2021,13,21,506,489,14,13
NH,1/8/2021,6,9,302,263,0,0
NJ,1/8/2021,9,11,"3,870","3,556",53,36
NM,1/8/2021,22,21,683,623,8,0
NV,1/8/2021,0,0,"1,811","1,741",4,13
NY,1/8/2021,8,10,"9,442","8,779",116,58
OH,1/8/2021,26,49,"4,467","4,181",73,42
OK,1/8/2021,41,49,"2,034","2,042",73,71
OR,1/8/2021,2,3,511,435,10,5
PA,1/8/2021,36,37,"6,100","5,483",81,40
PR,1/8/2021,0,0,400,300,26,7
RI,1/8/2021,5,5,427,393,3,3
SC,1/8/2021,27,24,"2,346","2,214",20,17
SD,1/8/2021,2,3,231,200,4,1
TN,1/8/2021,33,52,"3,327","3,245",34,30
TX,1/8/2021,164,199,"14,514","13,966",166,136
UT,1/8/2021,1,3,586,513,20,1
VA,1/8/2021,26,34,"2,985","2,642",33,24
VI,1/8/2021,1,2,0,0,0,0
VT,1/8/2021,1,1,36,33,1,0
WA,1/8/2021,9,11,"1,048",969,16,15
WI,1/8/2021,37,45,"1,214","1,150",7,2
WV,1/8/2021,24,25,869,826,5,4
WY,1/8/2021,4,4,116,107,0,0
AK,1/7/2021,1,1,79,76,4,3
AL,1/7/2021,38,41,"3,298","3,107",28,21
AR,1/7/2021,16,17,"1,323","1,231",20,4
AZ,1/7/2021,29,35,"5,052","4,517",41,25
CA,1/7/2021,188,199,"22,529","21,836",217,179
CO,1/7/2021,6,5,978,883,39,18
CT,1/7/2021,4,4,"1,286","1,136",8,3
DC,1/7/2021,0,0,322,304,28,15
DE,1/7/2021,2,3,489,461,11,9
FL,1/7/2021,10,27,"7,948","7,421",64,52
GA,1/7/2021,42,48,"5,853","5,591",71,23
HI,1/7/2021,2,3,136,120,1,0
IA,1/7/2021,6,7,583,577,7,4
ID,1/7/2021,5,6,352,346,9,9
IL,1/7/2021,22,23,"3,852","3,350",51,27
IN,1/7/2021,23,28,"2,773","2,441",18,8
KS,1/7/2021,12,16,"1,062",975,3,1
KY,1/7/2021,1,4,"1,844","1,704",25,5
LA,1/7/2021,46,49,"1,857","2,048",20,14
MA,1/7/2021,13,14,"2,251","1,984",26,15
MD,1/7/2021,4,2,"2,138","1,720",13,8
ME,1/7/2021,5,5,247,210,3,2
MI,1/7/2021,23,23,"2,557","2,357",23,18
MN,1/7/2021,19,22,870,769,18,15
MO,1/7/2021,23,34,"2,683","2,381",57,29
MS,1/7/2021,14,18,"4,478","1,270",18,10
MT,1/7/2021,11,12,218,216,1,1
NC,1/7/2021,5,6,"3,961","3,688",43,28
ND,1/7/2021,18,17,180,149,3,2
NE,1/7/2021,13,21,517,495,15,13
NH,1/7/2021,6,8,319,286,2,2
NJ,1/7/2021,9,10,"3,898","3,608",44,29
NM,1/7/2021,17,19,669,635,7,1
NV,1/7/2021,19,19,"1,914","1,816",11,11
NY,1/7/2021,7,8,"9,477","8,777",103,50
OH,1/7/2021,26,49,"4,632","4,305",71,33
OK,1/7/2021,45,51,"2,064","2,064",73,70
OR,1/7/2021,2,3,551,465,10,5
PA,1/7/2021,29,32,"6,346","5,681",60,36
PR,1/7/2021,0,0,398,310,26,4
RI,1/7/2021,4,4,422,392,3,3
SC,1/7/2021,25,26,"2,359","2,231",18,14
SD,1/7/2021,2,2,244,212,3,1
TN,1/7/2021,32,50,"3,417","3,283",36,30
TX,1/7/2021,164,198,"14,491","13,970",187,136
UT,1/7/2021,0,2,586,502,23,0
VA,1/7/2021,27,34,"2,955","2,598",29,20
VI,1/7/2021,1,2,0,0,0,0
VT,1/7/2021,1,1,38,35,1,1
WA,1/7/2021,11,13,"1,114",976,19,16
WI,1/7/2021,39,46,"1,209","1,165",7,4
WV,1/7/2021,24,25,895,855,3,2
WY,1/7/2021,5,5,127,115,0,0
AK,1/6/2021,1,1,85,81,4,3
AL,1/6/2021,39,41,"3,292","3,067",33,26
AR,1/6/2021,15,16,"1,344","1,238",20,2
AZ,1/6/2021,35,37,"5,049","4,511",49,29
CA,1/6/2021,183,198,"22,635","22,000",223,192
CO,1/6/2021,7,5,"1,024",921,28,17
CT,1/6/2021,4,5,"1,302","1,131",6,2
DC,1/6/2021,0,0,335,309,30,18
DE,1/6/2021,2,3,497,466,12,11
FL,1/6/2021,9,26,"7,983","7,403",59,53
GA,1/6/2021,42,48,"5,860","5,595",68,25
HI,1/6/2021,2,3,138,121,2,0
IA,1/6/2021,3,6,631,609,5,4
ID,1/6/2021,5,6,366,366,9,8
IL,1/6/2021,24,25,"3,966","3,451",76,29
IN,1/6/2021,23,29,"2,824","2,570",21,10
KS,1/6/2021,12,17,"1,039",949,3,1
KY,1/6/2021,1,4,"1,856","1,708",20,5
LA,1/6/2021,46,49,"1,811","2,041",20,9
MA,1/6/2021,11,13,"2,209","2,020",23,12
MD,1/6/2021,2,2,"2,109","1,677",13,9
ME,1/6/2021,1,1,255,210,4,3
MI,1/6/2021,22,24,"2,632","2,402",23,17
MN,1/6/2021,20,21,905,802,15,13
MO,1/6/2021,26,35,"2,771","2,448",60,27
MS,1/6/2021,17,19,"1,476","1,280",11,6
MT,1/6/2021,14,12,213,211,1,1
NC,1/6/2021,8,9,"4,030","3,706",49,28
ND,1/6/2021,18,17,192,156,4,2
NE,1/6/2021,15,22,536,507,17,15
NH,1/6/2021,5,7,336,299,0,0
NJ,1/6/2021,11,11,"3,958","3,647",48,31
NM,1/6/2021,17,18,684,648,15,2
NV,1/6/2021,17,20,"1,951","1,876",8,9
NY,1/6/2021,8,8,"9,509","8,751",112,53
OH,1/6/2021,28,50,"4,812","4,466",71,37
OK,1/6/2021,44,48,"2,079","2,076",70,67
OR,1/6/2021,1,2,568,460,15,5
PA,1/6/2021,31,33,"6,543","5,820",84,41
PR,1/6/2021,10,11,412,343,21,3
RI,1/6/2021,4,4,448,419,3,3
SC,1/6/2021,25,25,"2,393","2,266",20,15
SD,1/6/2021,2,2,262,232,2,0
TN,1/6/2021,32,51,"3,475","3,367",45,32
TX,1/6/2021,166,197,"14,256","13,753",225,166
UT,1/6/2021,0,2,575,511,19,0
VA,1/6/2021,23,31,"2,939","2,565",27,17
VI,1/6/2021,1,2,1,1,0,0
VT,1/6/2021,1,1,40,35,1,0
WA,1/6/2021,9,11,"1,121","1,041",19,17
WI,1/6/2021,37,45,"1,270","1,214",12,7
WV,1/6/2021,24,25,930,856,5,5
WY,1/6/2021,4,4,119,110,1,1
AK,1/5/2021,1,1,90,84,2,1
AL,1/5/2021,41,43,"3,262","3,100",21,21
AR,1/5/2021,16,18,"1,262","1,182",16,2
AZ,1/5/2021,32,36,"4,839","4,341",54,39
CA,1/5/2021,181,194,"22,387","21,810",201,166
CO,1/5/2021,4,3,"1,034",927,23,14
CT,1/5/2021,6,6,"1,333","1,155",10,4
DC,1/5/2021,0,0,315,303,31,12
DE,1/5/2021,1,1,465,444,8,7
FL,1/5/2021,6,23,"8,055","7,468",66,44
GA,1/5/2021,42,47,"5,604","5,354",57,21
HI,1/5/2021,3,3,137,116,3,1
IA,1/5/2021,6,6,629,601,7,4
ID,1/5/2021,2,4,368,371,6,5
IL,1/5/2021,17,17,"3,893","3,397",78,31
IN,1/5/2021,18,24,"2,786","2,533",14,6
KS,1/5/2021,13,17,"1,026",910,5,2
KY,1/5/2021,1,4,"1,830","1,695",21,4
LA,1/5/2021,45,48,"1,786","2,018",12,8
MA,1/5/2021,8,9,"2,197","2,010",23,10
MD,1/5/2021,5,4,"2,094","1,655",6,4
ME,1/5/2021,4,3,239,203,5,4
MI,1/5/2021,23,24,"2,678","2,426",26,21
MN,1/5/2021,21,22,940,831,19,13
MO,1/5/2021,26,31,"2,800","2,503",41,23
MS,1/5/2021,11,15,"1,484","1,293",13,7
MT,1/5/2021,13,12,228,223,1,1
NC,1/5/2021,5,6,"3,885","3,581",47,20
ND,1/5/2021,17,16,184,153,2,1
NE,1/5/2021,15,21,541,506,14,14
NH,1/5/2021,5,7,331,301,0,0
NJ,1/5/2021,9,9,"3,862","3,628",35,10
NM,1/5/2021,18,19,681,645,11,0
NV,1/5/2021,17,20,"1,910","1,830",11,6
NY,1/5/2021,10,9,"9,493","8,723",124,56
OH,1/5/2021,26,48,"4,909","4,539",92,39
OK,1/5/2021,44,48,"2,081","2,058",71,67
OR,1/5/2021,3,3,586,484,6,3
PA,1/5/2021,34,36,"6,601","6,001",76,40
PR,1/5/2021,0,0,415,322,20,3
RI,1/5/2021,5,5,444,411,3,3
SC,1/5/2021,23,25,"2,369","2,246",22,13
SD,1/5/2021,2,2,255,230,1,0
TN,1/5/2021,33,52,"3,485","3,357",39,32
TX,1/5/2021,166,191,"14,206","13,611",171,134
UT,1/5/2021,0,2,559,481,17,0
VA,1/5/2021,25,33,"2,846","2,525",24,10
VI,1/5/2021,1,2,1,1,0,0
VT,1/5/2021,1,1,43,41,1,0
WA,1/5/2021,10,11,"1,142","1,035",22,19
WI,1/5/2021,37,45,"1,246","1,182",13,5
WV,1/5/2021,22,24,882,854,9,6
WY,1/5/2021,5,5,125,112,0,0
AK,1/4/2021,1,1,87,75,2,1
AL,1/4/2021,41,41,"3,334","3,100",21,18
AR,1/4/2021,16,18,"1,221","1,154",16,2
AZ,1/4/2021,36,37,"4,760","4,331",55,38
CA,1/4/2021,179,191,"22,211","21,625",184,160
CO,1/4/2021,6,3,"1,023",942,23,11
CT,1/4/2021,6,6,"1,321","1,167",4,0
DC,1/4/2021,0,0,316,293,29,12
DE,1/4/2021,1,1,453,433,7,6
FL,1/4/2021,6,23,"8,079","7,383",70,47
GA,1/4/2021,42,47,"5,491","5,232",78,30
HI,1/4/2021,2,2,126,108,2,1
IA,1/4/2021,3,5,600,581,4,2
ID,1/4/2021,3,5,359,352,7,5
IL,1/4/2021,15,14,"3,854","3,439",47,23
IN,1/4/2021,22,29,"2,870","2,546",22,11
KS,1/4/2021,11,16,"1,013",921,7,4
KY,1/4/2021,0,2,"1,810","1,680",16,6
LA,1/4/2021,47,50,"1,779","1,934",14,8
MA,1/4/2021,9,9,"2,263","2,067",27,11
MD,1/4/2021,3,3,"2,041","1,671",8,6
ME,1/4/2021,2,3,228,195,4,3
MI,1/4/2021,24,25,"2,649","2,395",19,16
MN,1/4/2021,22,24,964,853,19,14
MO,1/4/2021,27,31,"2,751","2,500",40,16
MS,1/4/2021,12,17,"1,467","1,305",15,9
MT,1/4/2021,13,12,223,219,1,1
NC,1/4/2021,4,5,"3,675","3,430",39,26
ND,1/4/2021,16,15,161,136,4,1
NE,1/4/2021,16,22,565,522,15,14
NH,1/4/2021,5,6,334,299,1,0
NJ,1/4/2021,9,10,"3,822","3,626",17,5
NM,1/4/2021,17,19,698,661,9,3
NV,1/4/2021,14,21,"1,848","1,840",3,7
NY,1/4/2021,9,8,"9,447","8,636",117,64
OH,1/4/2021,26,49,"4,744","4,447",61,38
OK,1/4/2021,43,46,"1,999","1,989",67,65
OR,1/4/2021,3,2,514,468,8,4
PA,1/4/2021,28,32,"6,435","5,942",59,42
PR,1/4/2021,0,0,401,320,28,0
RI,1/4/2021,6,6,455,421,5,5
SC,1/4/2021,20,19,"2,312","2,209",18,14
SD,1/4/2021,2,2,263,244,1,0
TN,1/4/2021,33,52,"3,424","3,290",31,25
TX,1/4/2021,168,194,"13,757","13,258",161,124
UT,1/4/2021,0,2,550,474,14,0
VA,1/4/2021,23,32,"2,803","2,481",21,10
VI,1/4/2021,1,2,1,1,0,0
VT,1/4/2021,1,1,42,38,0,0
WA,1/4/2021,12,13,"1,093","1,027",24,18
WI,1/4/2021,40,46,"1,247","1,190",14,7
WV,1/4/2021,22,24,875,843,10,8
WY,1/4/2021,5,5,128,114,1,1
AK,1/3/2021,1,1,88,76,10,9
AL,1/3/2021,38,43,"3,238","3,032",29,19
AR,1/3/2021,17,20,"1,243","1,147",14,1
AZ,1/3/2021,33,34,"4,812","4,355",49,35
CA,1/3/2021,185,192,"21,810","21,136",221,144
CO,1/3/2021,4,3,"1,003",909,27,14
CT,1/3/2021,6,6,"1,332","1,146",6,2
DC,1/3/2021,0,0,292,280,35,13
DE,1/3/2021,1,3,498,445,15,12
FL,1/3/2021,7,24,"7,736","7,083",62,49
GA,1/3/2021,39,45,"5,364","5,055",71,28
HI,1/3/2021,2,2,124,108,1,1
IA,1/3/2021,6,6,586,567,8,3
ID,1/3/2021,4,7,346,341,10,9
IL,1/3/2021,19,17,"3,976","3,426",55,28
IN,1/3/2021,22,29,"2,803","2,493",14,9
KS,1/3/2021,10,13,"1,036",923,6,3
KY,1/3/2021,0,2,"1,838","1,667",16,6
LA,1/3/2021,46,49,"1,740","2,681",10,7
MA,1/3/2021,10,13,"2,279","2,067",23,12
MD,1/3/2021,2,2,"2,062","1,681",9,5
ME,1/3/2021,2,3,226,192,4,3
MI,1/3/2021,22,25,"2,607","2,349",19,16
MN,1/3/2021,21,22,937,826,17,13
MO,1/3/2021,21,31,"2,739","2,417",37,18
MS,1/3/2021,12,16,"1,439","1,260",19,15
MT,1/3/2021,14,14,202,197,2,2
NC,1/3/2021,5,5,"3,635","3,315",39,33
ND,1/3/2021,18,18,184,153,4,1
NE,1/3/2021,15,20,568,527,12,12
NH,1/3/2021,4,5,344,306,1,0
NJ,1/3/2021,10,11,"3,873","3,632",20,8
NM,1/3/2021,17,20,684,649,9,3
NV,1/3/2021,17,21,"1,902","1,842",3,8
NY,1/3/2021,13,11,"9,150","8,406",102,51
OH,1/3/2021,31,53,"4,658","4,306",68,39
OK,1/3/2021,43,47,"1,956","1,931",73,71
OR,1/3/2021,3,2,564,475,9,5
PA,1/3/2021,32,35,"6,422","5,869",67,44
PR,1/3/2021,0,0,397,327,23,1
RI,1/3/2021,6,6,468,430,3,3
SC,1/3/2021,19,19,"2,216","2,081",18,14
SD,1/3/2021,1,1,273,247,0,0
TN,1/3/2021,30,49,"3,344","3,228",34,30
TX,1/3/2021,167,192,"13,471","12,956",163,105
UT,1/3/2021,1,3,529,450,16,0
VA,1/3/2021,24,34,"2,798","2,389",22,9
VI,1/3/2021,1,2,2,2,0,0
VT,1/3/2021,1,1,35,32,0,0
WA,1/3/2021,9,13,"1,086",998,24,19
WI,1/3/2021,33,43,"1,189","1,152",11,4
WV,1/3/2021,22,24,916,856,12,10
WY,1/3/2021,5,5,120,107,1,1
AK,1/2/2021,1,1,78,65,10,9
AL,1/2/2021,40,43,"3,102","2,912",26,20
AR,1/2/2021,18,21,"1,239","1,155",19,1
AZ,1/2/2021,34,37,"4,752","4,246",41,31
CA,1/2/2021,183,189,"21,385","20,792",178,147
CO,1/2/2021,5,5,"1,056",945,21,16
CT,1/2/2021,6,6,"1,252","1,101",7,4
DC,1/2/2021,0,0,293,274,39,16
DE,1/2/2021,1,3,488,441,14,12
FL,1/2/2021,7,25,"7,442","6,874",61,43
GA,1/2/2021,39,44,"5,124","4,854",53,20
HI,1/2/2021,2,2,117,100,4,2
IA,1/2/2021,4,4,589,570,9,6
ID,1/2/2021,5,7,332,326,10,9
IL,1/2/2021,20,18,"3,893","3,379",60,28
IN,1/2/2021,24,29,"2,663","2,402",8,7
KS,1/2/2021,11,16,983,889,2,0
KY,1/2/2021,0,3,"1,775","1,646",17,6
LA,1/2/2021,46,49,"1,630","2,606",9,8
MA,1/2/2021,11,13,"2,167","1,997",25,11
MD,1/2/2021,3,3,"1,986","1,625",10,5
ME,1/2/2021,2,2,230,186,3,3
MI,1/2/2021,21,25,"2,602","2,322",16,15
MN,1/2/2021,21,22,941,828,18,14
MO,1/2/2021,24,35,"2,663","2,369",33,14
MS,1/2/2021,12,17,"1,412","1,239",23,14
MT,1/2/2021,13,15,198,193,2,2
NC,1/2/2021,5,5,"3,539","3,272",40,33
ND,1/2/2021,18,17,183,157,1,1
NE,1/2/2021,14,20,543,512,9,9
NH,1/2/2021,4,6,351,308,2,1
NJ,1/2/2021,9,10,"3,832","3,557",56,11
NM,1/2/2021,17,19,691,667,9,2
NV,1/2/2021,16,18,"1,863","1,809",4,9
NY,1/2/2021,10,8,"8,790","8,099",93,54
OH,1/2/2021,28,55,"4,503","4,169",64,37
OK,1/2/2021,43,48,"1,930","1,921",77,73
OR,1/2/2021,2,2,560,465,9,4
PA,1/2/2021,31,34,"6,565","5,804",83,41
PR,1/2/2021,0,0,392,335,4,1
RI,1/2/2021,6,6,455,414,4,4
SC,1/2/2021,19,19,"2,098","1,976",14,9
SD,1/2/2021,1,1,263,241,1,0
TN,1/2/2021,31,50,"3,275","3,171",29,28
TX,1/2/2021,155,188,"13,028","12,510",145,107
UT,1/2/2021,0,2,531,449,14,0
VA,1/2/2021,23,33,"2,693","2,348",21,14
VI,1/2/2021,1,2,2,2,0,0
VT,1/2/2021,1,1,27,25,0,0
WA,1/2/2021,7,12,"1,073",993,27,21
WI,1/2/2021,32,44,"1,151","1,087",17,8
WV,1/2/2021,21,24,910,860,12,10
WY,1/2/2021,4,5,109,104,1,1
AK,1/1/2021,1,1,69,61,9,9
AL,1/1/2021,40,42,"3,013","2,856",28,19
AR,1/1/2021,18,22,"1,211","1,128",22,3
AZ,1/1/2021,32,37,"4,661","4,175",36,29
CA,1/1/2021,173,188,"21,019","20,408",177,138
CO,1/1/2021,5,5,"1,101",981,24,17
CT,1/1/2021,6,6,"1,232","1,091",9,5
DC,1/1/2021,0,0,283,266,29,15
DE,1/1/2021,1,3,472,432,10,10
FL,1/1/2021,6,22,"7,099","6,591",64,47
GA,1/1/2021,39,44,"4,954","4,721",56,18
HI,1/1/2021,2,2,124,101,4,1
IA,1/1/2021,3,5,586,566,8,5
ID,1/1/2021,3,6,313,313,8,8
IL,1/1/2021,16,17,"3,890","3,388",61,28
IN,1/1/2021,23,30,"2,588","2,355",11,8
KS,1/1/2021,10,14,963,885,3,2
KY,1/1/2021,0,2,"1,732","1,601",15,2
LA,1/1/2021,46,50,"1,629","2,568",13,8
MA,1/1/2021,10,13,"2,207","1,993",20,10
MD,1/1/2021,2,2,"2,001","1,610",6,4
ME,1/1/2021,1,1,223,190,3,3
MI,1/1/2021,21,25,"2,582","2,340",19,14
MN,1/1/2021,19,20,984,870,18,12
MO,1/1/2021,23,32,"2,662","2,357",41,18
MS,1/1/2021,13,16,"1,384","1,196",19,13
MT,1/1/2021,14,15,194,192,1,1
NC,1/1/2021,4,5,"3,489","3,201",40,33
ND,1/1/2021,18,17,187,160,1,1
NE,1/1/2021,12,20,541,513,13,10
NH,1/1/2021,4,6,354,313,1,1
NJ,1/1/2021,11,11,"3,746","3,500",20,6
NM,1/1/2021,18,19,715,685,9,2
NV,1/1/2021,0,0,"1,872","1,782",9,13
NY,1/1/2021,8,8,"8,566","7,926",94,44
OH,1/1/2021,29,51,"4,469","4,177",71,36
OK,1/1/2021,45,51,"1,912","1,887",84,80
OR,1/1/2021,3,2,578,474,6,4
PA,1/1/2021,28,31,"6,759","5,834",77,43
PR,1/1/2021,0,0,429,338,10,2
RI,1/1/2021,6,6,456,415,5,5
SC,1/1/2021,20,21,"2,025","1,897",16,13
SD,1/1/2021,1,1,273,245,2,1
TN,1/1/2021,33,51,"3,260","3,122",41,26
TX,1/1/2021,157,186,"12,688","12,254",295,119
UT,1/1/2021,0,2,578,498,19,1
VA,1/1/2021,24,33,"2,668","2,345",21,16
VI,1/1/2021,1,2,2,2,0,0
VT,1/1/2021,1,1,31,28,0,0
WA,1/1/2021,9,14,"1,080",990,20,17
WI,1/1/2021,33,43,"1,127","1,082",12,9
WV,1/1/2021,23,25,930,867,8,7
WY,1/1/2021,5,5,105,96,0,0
AK,12/31/2020,1,1,71,66,9,9
AL,12/31/2020,38,43,"3,070","2,909",25,22
AR,12/31/2020,18,21,"1,228","1,133",15,3
AZ,12/31/2020,31,36,"4,735","4,250",39,31
CA,12/31/2020,175,187,"21,233","20,619",154,126
CO,12/31/2020,6,4,"1,162","1,032",29,19
CT,12/31/2020,6,6,"1,264","1,125",7,5
DC,12/31/2020,0,0,288,260,32,14
DE,12/31/2020,1,3,481,430,10,10
FL,12/31/2020,6,22,"7,031","6,553",60,46
GA,12/31/2020,42,47,"4,926","4,673",69,18
HI,12/31/2020,2,2,112,95,2,1
IA,12/31/2020,3,5,594,567,8,7
ID,12/31/2020,5,8,330,325,8,8
IL,12/31/2020,21,21,"4,092","3,567",62,24
IN,12/31/2020,24,29,"2,804","2,491",18,7
KS,12/31/2020,7,10,"1,027",916,2,1
KY,12/31/2020,0,4,"1,746","1,595",19,2
LA,12/31/2020,46,50,"1,654","2,564",13,8
MA,12/31/2020,11,12,"2,240","2,023",26,10
MD,12/31/2020,3,3,"2,043","1,631",10,4
ME,12/31/2020,2,2,234,199,4,3
MI,12/31/2020,22,25,"2,673","2,444",26,20
MN,12/31/2020,21,23,984,876,13,12
MO,12/31/2020,27,33,"2,711","2,397",44,22
MS,12/31/2020,12,17,"1,389","1,207",22,15
MT,12/31/2020,13,15,194,199,2,2
NC,12/31/2020,5,6,"3,539","3,224",45,32
ND,12/31/2020,18,18,197,164,1,1
NE,12/31/2020,12,21,564,530,13,10
NH,12/31/2020,6,7,360,320,0,0
NJ,12/31/2020,11,11,"3,868","3,632",22,12
NM,12/31/2020,16,17,748,720,15,4
NV,12/31/2020,20,23,"1,909","1,854",7,14
NY,12/31/2020,9,8,"8,734","8,045",97,45
OH,12/31/2020,33,54,"4,836","4,488",44,27
OK,12/31/2020,46,49,"1,980","1,957",81,78
OR,12/31/2020,3,3,587,474,9,4
PA,12/31/2020,31,35,"6,700","6,088",81,47
PR,12/31/2020,0,0,420,338,23,3
RI,12/31/2020,5,5,479,440,4,4
SC,12/31/2020,20,20,"1,970","1,852",22,16
SD,12/31/2020,1,2,280,261,2,1
TN,12/31/2020,31,49,"3,340","3,202",45,27
TX,12/31/2020,169,191,"12,985","12,447",170,134
UT,12/31/2020,0,2,538,469,13,1
VA,12/31/2020,25,31,"2,628","2,316",37,25
VI,12/31/2020,1,2,2,2,0,0
VT,12/31/2020,1,1,30,25,0,0
WA,12/31/2020,13,12,"1,083","1,012",17,11
WI,12/31/2020,36,43,"1,181","1,126",20,11
WV,12/31/2020,23,25,926,864,7,6
WY,12/31/2020,5,6,109,104,0,0
AK,12/30/2020,1,1,71,66,9,9
AL,12/30/2020,39,44,"3,074","2,907",26,23
AR,12/30/2020,18,20,"1,213","1,121",20,5
AZ,12/30/2020,33,37,"4,733","4,215",39,32
CA,12/30/2020,162,176,"21,354","20,771",167,134
CO,12/30/2020,5,5,"1,199","1,074",34,21
